10,Aviation Lyrics,"Do you think I'm crazy|-|For considering aviation?|-|I'm the fan of flying|-|Want to do it for the nation|-|'Cause I have nothing else to do|-|This summer but committed to you|-|Have a big degree in philosophy|-|But I don't know what I want to be|-|So I'm going into aviation, yeah, mom|-|I'm going into aviation, yeah, dad|-|Going into aviation|-|I'm going into aviation|-|Do you think I'm crazy|-|'Cause I'm up and leaving, baby|-|Well, I ain't got nobody|-|And I ain't got no money, baby, yeah|-|I feel high as I might tonight|-|So lean back and enjoy the flight|-|And the weather is clear, yeah, nobody is near|-|The future is not here|-|So I'm going into aviation, yeah, mom|-|I'm going into aviation, yeah, dad|-|Going into aviation|-|I'm going into aviation|-|Do you think I'm crazy|-|'Cause I'm going to Pensacola|-|Where nobody knows me|-|Where someone could just start over|-|I'll be all right in a month or two|-|'Cause it's warm there in the winter, too|-|Think New York is great, I really like the state|-|But it's time to be on my way|-|I'm going into aviation, yeah, mom|-|I'm going into aviation, yeah, dad|-|I'm going to take a vacation, yeah, man|-|Fly fighter jets all over the nation|-|Fly fighter jets all over the nation"
11,Back To The Basics Lyrics,"C'mon.|-|Baby we could go,|-|Back to the basics.|-|Trailer park love,|-|Wearing them asics,|-|And gold.|-|I can speak spanish,|-|You can sing for the neighbours,|-|You've been pretty stupid,|-|Ever since you got famous.|-|Uh-oh, uh-oh, wrong side,|-|Of the tracks, boy.|-|Uh-oh, uh-oh, if only,|-|We'd go back, boy.|-|'cause nobody does it like you,|-|I like the way that you move,|-|That's why i never go through,|-|With leaving you.|-|Everybody's sayin' that,|-|You're not good for me.|-|Your friends all swear,|-|That you've changed but,|-|I still keep it o.g.|-|This tune could be a reminder,|-|Of how it all used to be.|-|So shut up, and come on,|-|Sing our song.|-|And let's go back to the basics.|-|Let's go back to the basics, baby.|-|Back to the basics,|-|When you're not wasted,|-|I know you'll see.|-|Baby we could go,|-|Back to the basics, (c'mon),|-|We were best friends,|-|Crazy and shameless in love.|-|You can mow the lawn for money,|-|I can make you playlists.|-|You bought me dime packs,|-|Felt like we were famous.|-|Uh-oh, uh-oh, best i,|-|Ever had boy.|-|Uh-oh, uh-oh, can you,|-|Remember that, boy?|-|Nobody knew what we knew,|-|We had it figured out too,|-|Us against the world just,|-|Me and you (ooh-ooh)!|-|Everybody's sayin' that,|-|You're not good for me.|-|Your friends all swear,|-|That you've changed but,|-|I still keep it o.g.|-|This tune could be a reminder,|-|Of how it all used to be.|-|So shut up, and come on,|-|Sing our song.|-|And let's go back to the basics.|-|Let's go back to the basics, baby.|-|Back to the basics,|-|When you're not wasted,|-|I know you'll see.|-|We could drive forever, my baby,|-|We could leave it all and never look back.|-|If you wanted heaven, baby,|-|Sit back in my pink cadillac.|-|Everybody's sayin' that,|-|You're not good for me.|-|Your friends all swear,|-|That you've changed but,|-|I still keep it o.g.|-|This tune could be a reminder,|-|Of how it all used to be.|-|So shut up, and come on,|-|Sing our song.|-|Ooh, ooh, ooh-ooh.|-|Everybody's sayin' that,|-|You're not good for me.|-|Your friends all swear,|-|That you've changed but,|-|I still keep it o.g.|-|This tune could be a reminder,|-|Of how it all used to be.|-|So shut up, and come on,|-|Sing our song.|-|And let's go back to the basics.|-|Let's go back to the basics, baby.|-|Back to the basics,|-|When you're not wasted,|-|I know you'll see."
12,Backfire Lyrics,"Salvatore, you can def'|-|Be my baby blue|-|Need my mafiosi rock 'n' roll high.|-|Back to Malibu, and our|-|Trailer park for two|-|We're like sitting in see love gonna fight.|-|We got a jumper, got a jumper|-|Got a jumper, got a jumper|-|My man's crazy and his mind isn't right.|-|But I like him, fact I love him|-|I can't get e-enough of him|-|He knows only I can save him tonight.|-|I've been waiting on your love|-|Baby, for too long now, too long now.|-|I thought that I could change you|-|Like the others but I don't know how|-|Don't know how.|-|It's gonna backfire|-|It's gonna backfire, baby.|-|Gonna backfire|-|Gonna backfire, baby.|-|Told you one million times before|-|You're so much firing a million more.|-|I'm tired of fighting you|-|Seems like everything I do|-|Even when I win I lose what you meant.|-|And it's not something you chose|-|You say trouble follows you|-|It's been like that since the day you began.|-|We got a jumper, got a jumper|-|Got a jumper, got a jumper|-|I know very well you're bringing me down.|-|I will follow, I will follow|-|I will follow, for a little piece of heaven|-|I'm ready, I am willing to drown.|-|I've been waiting on your love|-|Baby, for too long now, too long now.|-|I thought that I could change you|-|Like the others but I don't know how|-|Don't know how.|-|It's gonna backfire|-|It's gonna backfire, baby.|-|Gonna backfire|-|Gonna backfire, baby.|-|Told you one million times before|-|You're so much firing a million more.|-|You're always taking trips downtown|-|Officer Brown's always coming around.|-|Tappin' on the window, kids come out|-|Ain't no way to live when we show you how.|-|But we know we're not gonna change|-|Keep hustlin', every night and day.|-|I've been waiting on your love|-|Baby, for too long now, too long now.|-|I thought that I could change you|-|Like the others but I don't know how|-|Don't know how.|-|It's gonna backfire|-|It's gonna backfire, baby.|-|Gonna backfire|-|Gonna backfire, baby.|-|Done it a million times before|-|And I won't fire it a million more."
13,Bad Disease Lyrics,"Well there is something about watching a crime,|-|it makes me wanna go out and make it all mine|-|It's something about seeing you fight,|-|it makes me wanna go out tonight|-|I got a bad disease|-|I got a bad disease to fall into,|-|yeah it's true|-|There's something about seeing him die|-|that puts it all into perspective, and I|-|wanna stay home, be left alone|-|Someone make my mind up so I don't have to decide|-|I got a bad disease|-|I got a bad disease to fall into,|-|yeah I do|-|There's some reason why I can't sit still,|-|every waking moment I feel so unfulfilled|-|I drive and I drown, but I don't know how|-|Baby, when I'm sleeping, if it's less like I'm dreaming|-|Oh my god,|-|I got a bad disease|-|I got a bad disease, it's got me down|-|on my knees|-|There's a fear I have, a feeling real bad,|-|I'm final if I find out that I'm not, I'll be sad|-|I try to cry to thoughts in the night,|-|oh, they got me thinking I'd be happier just drinkin'|-|It's not true|-|I got a bad disease|-|I got a bad disease, it's got me down|-|on my knees|-|I got a bad disease|-|will no one help me please?|-|Not even you?"
14,BBM Baby Lyrics,"I be BBM'in you|-|Telling you|-|All the things I'm gonna do to you|-|When you get home babe|-|Makin love then yelling ooh|-|Nothin I would rather do|-|Then flirt and talkin dirty, you|-|Love me, hate me|-|I be BBM'in you|-|Telling you|-|All the things I'm gonna do to you|-|When you get home babe|-|Makin love then yelling ooh|-|Nothin I would rather do|-|Then flirt and talkin dirty, you|-|Love me, hate me|-|It's like it's your job to work me up|-|Treatin me nice, and then treatin me rough|-|And I don't know why, but I can't get enough|-|I like it, I like it|-|And I know that I'm making you nuts|-|Middle of the night and when I'm waking up|-|I don't know why, but you can't get enough|-|You like it, you like it|-|Be my BBM baby|-|Middle of the night, waking up to ride|-|Be my BBM baby|-|I don't wanna fight, you're the one I like|-|Yeah yeah, always on my mind|-|Yeah yeah, when will you be mine|-|I be BBM'in you|-|Lettin you love me, in your letters|-|You're the way, that you write is crazy|-|You're typing this poetical|-|Red roses in your message oh|-|I think I met my match in, you|-|Text me, chase me|-|It's like it's your job to work me up|-|Treatin me nice, and then treatin me rough|-|And I don't know why, but I can't get enough|-|I like it, I like it|-|He signs XO, hugs, hey|-|I know it's true love cause my heart goes yay|-|Be my BBM baby|-|Middle of the night, waking up to ride|-|Be my BBM baby|-|I don't wanna fight, you're the one I like|-|Yeah yeah, you're always on my mind|-|Yeah yeah, when will you be mine|-|He signs XO, hugs, hey|-|I know it's true love cause my heart goes yay|-|He signs xx, kiss, babe|-|I know it's true love cause my heart goes yay|-|He signs xx, kiss, babe|-|I don't wanna fight|-|In the middle of the night|-|Boy you got me crazed|-|In the middle of the night|-|He writes that he's outside|-|I left my window open baby|-|You can come inside|-|Call me when you get here|-|I'll be ready boy|-|Cause I heart you, you're the one that I adore|-|So won't you be my BBM baby|-|Middle of the night, wakin up to ride|-|So won't you be my BBM baby|-|I don't wanna fight, you're the one I like|-|Be my BBM baby|-|Middle of the night, wakin up to ride|-|Oh won't you be my BBM baby|-|I don't wanna fight, you're the one I like|-|Yeah yeah, you're always on my mind|-|Yeah yeah, when will you be mine|-|Yeah yeah, you're always on my mind|-|Yeah yeah, when will you be mine"
15,Be Insane Lyrics,"Lana del rey insane lyrics|-|You don't have to be afraid|-|You don't even have to be brave|-|Living in a guilded cage|-|The only risk is that you'll go|-|Oh oh go insane ohohohoh oh|-|Oho h go insane ohohohohoh|-|Oh go insane and oh go insane|-|Hey ah go insane and oh oh oh ah insane|-|And oh your mind is on track|-|The games we play these days|-|With every path you take, you know you're|-|Safe x3|-|The only risk is that you'll go insane (oh)|-|The only risk is that you'll go insane (ohohoh)|-|And ah go insane and ah go insane (ohoh)|-|And oh go insane and ah ah ah oh go insane|-|Go insane x3|-|And ah ah ah oh go insane"
16,Be My Daddy Lyrics,"Hmmmmm|-|What's up (x6)|-|Lyin' on the beach and the hot sun (yeah hot)|-|Yeah, I want you|-|If you have forgotten how to have fun (com'on)|-|Well, I'll show you|-|You rich and I'm wishin' um|-|You could be my mister yum|-|Delicious to the maximum|-|Chew you up like bubble gum|-|You love me, He wants me|-|I think I want you too|-|You can be my daddy tonight, night, night|-|I'm neon phosphorescent|-|Open like a Christmas present, now|-|You can be my daddy tonight, night, night|-|If you're seeking heaven|-|Then you wanna come and get it, get it|-|You can be my daddy tonight, night, night|-|I'm neon phosphorescent|-|Open like a Christmas present, now|-|You can be my daddy tonight, night, night|-|If you're seeking heaven|-|Then you wanna come and get it alright|-|Be my daddy tonight|-|I see you shining bright with your gold chain on (so bright)|-|Drinking with your crew (yeah)|-|I give you one look and you now that it's on (it's on)|-|Yes you do|-|He's rich and I'm kissin' him, magical musician I'm|-|Drivin' at the cinema, taste like sugar cinamon|-|Hey baby (wha?)|-|Come take me (wha?)|-|I'll go anywhere with you (yeah)|-|You can be my daddy tonight, night, night|-|I'm neon phosphorescent|-|Open like a Christmas present, now|-|You can be my daddy tonight, night, night|-|If you're seeking heaven|-|Then you wanna come and get it, get it|-|You can be my daddy tonight, night, night|-|I'm neon phosphorescent|-|Open like a Christmas present, now|-|You can be my daddy tonight, night, night|-|If you're seeking heaven|-|Then you wanna come and get it alright|-|Be my daddy tonight|-|What's up (x8)|-|Sitting on your lap singing you my song|-|Gotta lollipop|-|I'll give you some|-|I'll fuck (you x6)|-|You can be my daddy tonight, night, night|-|I'm neon phosphorescent|-|Open like a Christmas present, now|-|You can be my daddy tonight, night, night|-|If you're seeking heaven|-|Then you wanna come and get it, get it|-|You can be my daddy tonight, night, night|-|I'm neon phosphorescent|-|Open like a Christmas present, now|-|You can be my daddy tonight, night, night|-|If you're seeking heaven|-|Then you wanna come and get it alright|-|Be my daddy tonight|-|What's up (x4)|-|Be my daddy (x3)|-|Be my, be my daddy tonight"
17,Beautiful People, Beautiful Problems Lyrics,"Blue is the color of the planet from the view above|-|Long live our reign, long live our love|-|Green is the planet from the eyes of a turtle dove|-|'Til it runs red, runs red with blood|-|We get so tired and we complain|-|'Bout how it's hard to live|-|It's more than just a video game|-|But we're just beautiful people|-|With beautiful problems, yeah|-|Beautiful problems, God knows we've got them|-|But we gotta try (lie-la-lie)|-|Every day and night (lie-la-lie)|-|Blue is the collar of the shirt of the man I love|-|He's hard at work, hard to the touch|-|But warm is the body of the girl from the land he loves|-|My heart is soft, my past is rough|-|But when I love him, get a feeling|-|Something close to like a sugar rush|-|It runs through me, but is it wasted love?|-|(Let's not waste it, love)|-|But we're just beautiful people|-|With beautiful problems, yeah|-|Beautiful problems, God knows we've got them|-|But we gotta try (lie-la-lie)|-|Every day and night (lie-la-lie)|-|Yeah we've gotta try (lie-la-lie)|-|We gotta walk through fire, lie-la-lie|-|Because we're just|-|Beautiful people with beautiful problems, yeah|-|Beautiful problems, God knows we've got them|-|(Beautiful people)|-|Beautiful people with beautiful problems, yeah|-|(We're just)|-|Beautiful problems, God knows we got them|-|So beautiful|-|Yeah|-|Yeah, yeah|-|Yeah, yeah"
18,Beautiful Player Lyrics,"Uh, what, Stars, Stars|-|Lana Del Rey, Lana Del Rey|-|Sing it to me, sing it to me|-|You're so easy to love|-|You make me cuckoo like a turtle dove|-|So hot that I can't get enough|-|Enough of you|-|Hit me and it felt like a kiss|-|You know it hurts so good when you do me like this|-|So sad when I hear the girls talk|-|When I walk by, I start to cry|-|(Sing it to me, babe)|-|'Cause you're the beautiful player|-|You're a beautiful player, baby|-|Ooh-ooh-ooh-ooh ooh-ooh, baby|-|Ooh-ooh-ooh-ooh ah-ah-ah...|-|(Sing it to me, doll)|-|Sunset on a Saturday night|-|Having a truck top backrub time of our lives|-|He's selling stars on the boulevard of broken dreams|-|And faded queens|-|We're feeling like we wanna die fast|-|'Cause he's been breaking the law and he's not going back|-|I love him violently all through the night|-|And yes it's true, I live for you|-|(Sing it to me, babe)|-|'Cause you're my beautiful player|-|You're my beautiful player, baby|-|Ooh-ooh-ooh-ooh ooh-ooh, baby|-|Ooh-ooh-ooh-ooh ooh-ooh-yeah...|-|L is for your love that you gave and took away|-|O is for the only want I wanted to stay|-|V is for my valiant Valium baby|-|E is for the X that we took with champagne|-|Hit me and it felt like a kiss, baby|-|If it don't hurt then I'll have to insist|-|We have just one life to live|-|But true love's law and he can't give|-|(Sing it to me, babe)|-|'Cause he's my beautiful player|-|He's my beautiful player, baby|-|Ooh-ooh-ooh-ooh ooh-ooh, baby|-|Ooh-ooh-ooh-ooh ooh-ooh-yeah...|-|'Cause he's my beautiful player|-|He's my beautiful player, baby|-|Ooh-ooh-ooh-ooh ooh-ooh, baby|-|Ooh-ooh-ooh-ooh ooh-ooh-yeah..."
19,Because Of You Lyrics,"On the streets of LA|-|Where the future is now|-|We dance like nobody's watching us|-|And we live like we want to|-|But it can all get a little crazy|-|Unless there's something to hold onto|-|For me, that was true love|-|I was a young girl, selfish and wild|-|Like a fire in LA|-|Hot like the summer and mean like a child|-|Who keeps crying 'till she gets her way (like a true star)|-|There were roses in my hair, rock n roll on blare, and I was in trouble|-|And no one could rock me like you could|-|I was a bad girl gone good|-|Look at me now, I have everything|-|You gave to me and my heart can sing|-|I was a kid who could only drink|-|Dance on tables, makin' deal with devils like a drunk beauty queen|-|Fighting the fantasy, hooked on the scene, and it brought me to my knees|-|And it's all because of you (you know what I'm talkin' about)|-|It was a mad world, we lived for fun|-|And we got shit for free|-|Had a face like an angel, but inside my heart was as black as a broke movie screen (it was pretty sad)|-|But then I saw you standing there, like a millionaire|-|Give me a number, call me before I get stupid|-|Make me uncrazy like you did|-|Look at me now, I have everything|-|You gave to me and my heart can sing|-|I was a kid who could only drink|-|Dance on tables, makin' deal with devils like a drunk beauty queen|-|Fighting the fantasy, hooked on the scene, but you brought me to my knees|-|And it's all because of you|-|It isn't hard to see, you got a hold on me|-|Give me your money, love me to death|-|Talk like a baby, 'cause I'm so elated|-|You tell me that I ain't seen nothing quite yet|-|I don't wanna lose it, I'm in love, but I didn't choose it|-|Roses in my hair, dancing in the air, feels like I'm flying|-|Tell me you love me, boy, do it|-|It's just like I thought, I just knew it|-|Look at me now, I have everything|-|You gave to me and my heart can sing|-|I was a kid who could only drink|-|Dance on tables, makin' deals with devils like a drunk beauty queen|-|Fighting the fantasy, hooked on the scene, you bring me to my knees|-|And it's all because of you|-|Yeah, it's all because of you"
